#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
80.0%	8000	-4486316.795489179	286.94971951381996	--	--
90.0%	9000	-4457080.005521802	293.6303821808988	21.6	0:04
100.0%	10000	-4437238.654567184	295.9164121998495	21.8	0:00
110.0%	11000	-4428555.834894003	297.57835441873993	22.8	23:59:57
120.0%	12000	-4418142.399272349	297.99139163209094	22.7	23:59:53
130.0%	13000	-4412534.677642936	298.7786591836192	22.6	23:59:49
140.0%	14000	-4410337.770953964	299.21657376819195	23	23:59:45
150.0%	15000	-4407757.87263749	299.51340053615866	22.9	23:59:42
160.0%	16000	-4406697.405085284	300.52519356196484	22.8	23:59:38
170.0%	17000	-4405995.764874339	299.73562836667645	22.6	23:59:34
